Model loaded successfully from 'datasets/dummy15.txt'
***NEW BEST = 2867009.9471489345***
========= SOLUTION ==========
0 0 3600.7
0 321 4311.1
0 181 4708.6
0 305 5376.6
0 87 5976.1
0 280 6428.0
1 0 4879.4
1 330 5374.5
1 25 5748.3
1 114 6111.2
1 202 6742.4
1 214 7361.0
2 0 3868.7
2 115 4671.6
2 442 4778.4
2 184 5274.1
2 335 5920.5
2 10 6263.0
3 0 4923.8
3 395 5113.8
3 36 5813.1
3 42 6338.5
3 275 7047.8
3 347 7476.0
4 0 4418.2
4 498 4933.0
4 479 5268.2
4 480 5902.0
4 411 6478.0
4 229 6956.2
5 0 3862.3
5 455 4338.0
5 167 4520.5
5 93 4886.4
5 309 5387.9
5 328 5866.2
6 0 3711.4
6 222 4412.8
6 217 4777.5
6 462 5062.4
6 339 5640.9
6 61 6393.0
7 0 3211.0
7 80 4225.2
7 467 4941.6
7 496 5407.0
7 245 5841.8
7 254 6439.0
8 0 7998.0
8 112 8686.3
8 497 9025.0
8 142 9449.9
8 60 9763.7
8 148 9882.8
9 0 7998.0
9 284 8371.6
9 56 8801.0
9 439 9212.8
9 440 9397.0
9 350 9593.1
10 0 7998.0
10 358 8762.6
10 113 9682.9
10 238 10591.6
10 450 10880.6
10 290 11344.6
11 0 7998.0
11 267 8370.0
11 384 8669.2
11 180 8895.0
11 356 9167.4
11 44 9440.3
12 0 7998.0
12 499 8078.1
12 213 8274.4
12 88 8933.3
12 176 9131.5
12 341 9703.1
13 0 7998.0
13 414 8540.0
13 337 8793.4
13 421 9024.8
13 391 9438.9
13 370 9687.3
14 0 7998.0
14 172 8516.4
14 13 8928.1
14 420 9351.7
14 241 9571.0
14 52 10003.6
15 0 7998.0
15 84 8121.5
15 201 8471.1
15 407 9167.7
15 226 9651.8
15 360 10412.6
16 0 7998.0
16 162 8648.4
16 393 8930.9
16 368 8989.8
16 287 9480.1
16 6 9924.9
17 0 7998.0
17 255 8740.2
17 475 9290.2
17 336 9632.8
17 266 9795.4
17 343 10289.6
18 0 7998.0
18 447 8264.3
18 293 8753.0
18 351 9162.5
18 220 9501.8
18 11 9888.7
19 0 7998.0
19 417 8934.8
19 65 9229.2
19 243 9747.4
19 132 10374.4
19 247 10586.6
20 0 7998.0
20 218 8726.6
20 481 9104.2
20 19 9439.4
20 366 9853.0
20 62 10137.6
21 0 7998.0
21 230 8956.1
21 173 9201.7
21 111 9833.9
21 47 10405.1
21 200 11063.7
22 0 7998.0
22 298 8794.8
22 425 8994.1
22 458 9504.0
22 289 9682.1
22 444 9960.2
23 0 7998.0
23 135 8487.5
23 28 8767.1
23 306 9052.4
23 72 9213.0
23 482 9645.2
24 0 7998.0
24 33 8435.1
24 78 8761.0
24 71 9411.3
24 32 9822.3
24 30 10202.4
25 0 7998.0
25 168 8738.7
25 46 9202.2
25 292 9464.7
25 302 9863.2
25 392 10625.6
26 0 7998.0
26 271 8267.9
26 382 8834.5
26 228 9555.1
26 316 9880.1
26 398 10486.5
27 0 7998.0
27 190 8913.3
27 92 9445.2
27 197 9754.3
27 208 10276.3
27 244 11001.9
28 0 7998.0
28 75 8651.7
28 27 9078.3
28 438 9495.2
28 294 9829.7
28 489 10538.8
29 0 7998.0
29 189 8798.4
29 367 9184.5
29 18 9579.3
29 159 10116.6
29 38 10507.7
30 0 7998.0
30 387 8692.0
30 484 9585.1
30 89 9870.5
30 123 10150.8
30 203 10363.7
31 0 7998.0
31 51 8780.0
31 379 9561.4
31 106 9885.9
31 73 10158.7
31 460 11004.7
32 0 7998.0
32 323 8742.8
32 464 9457.1
32 166 9925.9
32 64 10736.4
32 20 11359.3
33 0 7998.0
33 144 8640.1
33 419 9158.5
33 7 9490.3
33 310 9828.0
33 121 10338.2
34 0 7998.0
34 216 8365.2
34 493 9019.0
34 164 9535.4
34 104 10372.2
34 74 10642.7
35 0 7998.0
35 353 8765.3
35 227 9239.6
35 156 9676.7
35 259 10255.5
35 474 10933.7
36 0 7998.0
36 232 8759.0
36 317 9099.0
36 17 9272.7
36 211 9447.7
36 196 10018.9
37 0 7998.0
37 258 8976.6
37 376 9700.5
37 231 9736.7
37 4 10503.5
37 81 11116.6
38 0 7998.0
38 276 8635.6
38 257 9200.6
38 118 9722.5
38 207 9993.6
